,customer_city,count_delivered
0,sao paulo,15045
1,rio de janeiro,6601
2,belo horizonte,2697
3,brasilia,2071
4,curitiba,1489
5,campinas,1406
6,porto alegre,1342
7,salvador,1188
8,guarulhos,1144
9,sao bernardo do campo,911
10,niteroi,825
11,santo andre,778
12,osasco,724
13,santos,700
14,sao jose dos campos,667
15,goiania,660
16,fortaleza,618
17,sorocaba,609
18,recife,593
19,florianopolis,556
20,jundiai,549
21,ribeirao preto,499
22,belem,431
23,juiz de fora,423
24,nova iguacu,423
25,barueri,419
26,contagem,415
27,sao goncalo,385
28,vitoria,374
29,mogi das cruzes,374
30,uberlandia,367
31,piracicaba,356
32,sao luis,335
33,sao jose do rio preto,329
34,vila velha,326
35,maua,317
36,carapicuiba,316
37,campo grande,312
38,praia grande,301
39,londrina,298
40,taboao da serra,284
41,serra,278
42,diadema,276
43,indaiatuba,274
44,sao caetano do sul,272
45,teresina,271
46,bauru,263
47,maringa,260
48,taubate,260
49,joinville,257
50,duque de caxias,250
51,joao pessoa,245
52,cuiaba,243
53,cotia,242
54,maceio,236
55,sao carlos,236
56,petropolis,234
57,campos dos goytacazes,232
58,suzano,230
59,macae,228
60,volta redonda,227
61,caxias do sul,220
62,guaruja,217
63,americana,216
64,aracaju,213
65,montes claros,207
66,canoas,205
67,natal,203
68,betim,196
69,santa maria,196
70,marilia,194
71,jacarei,189
72,limeira,186
73,uberaba,186
74,pelotas,183
75,valinhos,181
76,feira de santana,181
77,blumenau,181
78,sumare,178
79,santana de parnaiba,178
80,itapevi,170
81,ipatinga,169
82,itaquaquecetuba,168
83,sao jose,167
84,sao vicente,159
85,embu das artes,157
86,presidente prudente,157
87,franca,154
88,rio claro,154
89,atibaia,154
90,cascavel,151
91,araraquara,150
92,braganca paulista,144
93,hortolandia,142
94,nova friburgo,142
95,ponta grossa,141
96,aracatuba,138
97,manaus,137
98,cariacica,135
99,governador valadares,134
100,marica,133
101,divinopolis,132
102,jaboatao dos guararapes,131
103,rio das ostras,130
104,sao jose dos pinhais,130
105,itu,129
106,pouso alegre,128
107,paulinia,127
108,sete lagoas,126
109,sao joao de meriti,124
110,cachoeiro de itapemirim,121
111,rio grande,121
112,novo hamburgo,121
113,teresopolis,119
114,barra mansa,119
115,itajai,119
116,santa barbara d'oeste,118
117,pocos de caldas,116
118,resende,115
119,cabo frio,113
120,passo fundo,112
121,gravatai,111
122,anapolis,111
123,ferraz de vasconcelos,109
124,franco da rocha,108
125,porto velho,108
126,palmas,107
127,ribeirao pires,107
128,mage,106
129,aparecida de goiania,105
130,belford roxo,104
131,nilopolis,103
132,sao leopoldo,103
133,chapeco,101
134,botucatu,100
135,patos de minas,99
136,pindamonhangaba,98
137,ribeirao das neves,98
138,itatiba,97
139,caieiras,97
140,cajamar,97
141,balneario camboriu,97
142,guaratingueta,96
143,santa luzia,96
144,nova lima,96
145,francisco morato,94
146,araras,93
147,itapecerica da serra,93
148,itajuba,92
149,criciuma,91
150,vinhedo,90
151,palhoca,90
152,salto,89
153,olinda,89
154,vicosa,89
155,mogi-guacu,89
156,jaragua do sul,88
157,vitoria da conquista,88
158,varginha,88
159,foz do iguacu,86
160,poa,85
161,ananindeua,85
162,assis,84
163,jandira,84
164,lages,84
165,votorantim,84
166,caraguatatuba,83
167,angra dos reis,83
168,lorena,82
169,conselheiro lafaiete,82
170,lavras,80
171,sao joao da boa vista,80
172,barbacena,79
173,cubatao,79
174,birigui,78
175,itapetininga,77
176,itabira,77
177,ourinhos,77
178,mesquita,76
179,mogi mirim,75
180,varzea paulista,75
181,mairipora,75
182,sao roque,75
183,araxa,75
184,teofilo otoni,75
185,araruama,74
186,itanhaem,74
187,jau,73
188,rio branco,72
189,catanduva,72
190,ubatuba,72
191,cacapava,72
192,lauro de freitas,72
193,tatui,72
194,cachoeirinha,72
195,viamao,70
196,toledo,70
197,pirassununga,69
198,barretos,69
199,ilheus,69
200,aruja,68
201,campina grande,67
202,sao joao del rei,66
203,guarapari,66
204,pinhais,66
205,rio verde,64
206,rondonopolis,64
207,manhuacu,64
208,linhares,64
209,avare,63
210,muriae,63
211,caruaru,63
212,colatina,63
213,votuporanga,63
214,amparo,63
215,dourados,63
216,paracatu,62
217,caratinga,62
218,santa cruz do sul,62
219,petrolina,62
220,valenca,62
221,bage,62
222,guarapuava,62
223,sertaozinho,61
224,parnamirim,61
225,itabuna,60
226,camacari,60
227,jaguariuna,60
228,brusque,60
229,tubarao,60
230,colombo,60
231,lagoa santa,58
232,paranagua,58
233,sao sebastiao,57
234,itapeva,57
235,itaborai,56
236,itauna,56
237,cruzeiro,56
238,alvorada,56
239,campo mourao,56
240,erechim,56
241,ouro preto,55
242,unai,54
243,jatai,54
244,araguari,54
245,araucaria,54
246,lins,54
247,queimados,53
248,ituiutaba,53
249,pato branco,53
250,macapa,53
251,bento goncalves,53
252,uba,53
253,itapira,52
254,ijui,52
255,fernandopolis,52
256,timoteo,52
257,tupa,52
258,matao,51
259,barreiras,51
260,lajeado,51
261,bebedouro,51
262,apucarana,51
263,leme,50
264,cosmopolis,50
265,francisco beltrao,50
266,joao monlevade,50
267,jaboticabal,50
268,barra do pirai,49
269,nova serrana,49
270,uruguaiana,47
271,sao mateus,47
272,campo limpo paulista,47
273,bertioga,47
274,ibirite,47
275,concordia,47
276,boituva,47
277,sao pedro da aldeia,46
278,embu-guacu,46
279,itaguai,46
280,itaperuna,46
281,registro,45
282,paranavai,45
283,saquarema,45
284,santo angelo,45
285,patrocinio,45
286,sao bento do sul,44
287,ilhabela,44
288,videira,44
289,louveira,44
290,sao jose do rio pardo,44
291,itapema,44
292,guaira,43
293,peruibe,43
294,lencois paulista,43
295,passos,43
296,santarem,43
297,vargem grande paulista,43
298,sinop,43
299,alfenas,43
300,sabara,42
301,paulista,42
302,curvelo,42
303,juazeiro,42
304,tres lagoas,42
305,extrema,42
306,pirapora,42
307,itupeva,42
308,ouro branco,41
309,vespasiano,41
310,tres coracoes,41
311,mongagua,41
312,pedro leopoldo,40
313,aracruz,40
314,umuarama,40
315,imperatriz,40
316,cacador,40
317,boa vista,40
318,artur nogueira,40
319,alagoinhas,40
320,andradina,40
321,coronel fabriciano,40
322,sao miguel do oeste,39
323,ponte nova,39
324,cianorte,39
325,porto seguro,39
326,paulo afonso,39
327,esteio,39
328,sapucaia do sul,39
329,bom despacho,38
330,tremembe,38
331,varzea grande,38
332,araguaina,38
333,capao da canoa,38
334,monte mor,38
335,tres rios,38
336,valparaiso de goias,37
337,nova odessa,37
338,penapolis,37
339,guaxupe,37
340,para de minas,37
341,olimpia,36
342,eunapolis,36
343,caldas novas,36
344,luis eduardo magalhaes,36
345,vassouras,36
346,campo largo,36
347,guanambi,36
348,pedreira,36
349,campo bom,35
350,santa rita do sapucai,35
351,mossoro,35
352,itumbiara,35
353,almirante tamandare,35
354,caucaia,35
355,tiete,35
356,rio do sul,35
357,paracambi,35
358,osorio,35
359,adamantina,35
360,sao sebastiao do paraiso,35
361,alegrete,35
362,santa fe do sul,34
363,japeri,34
364,jequie,34
365,sao joaquim da barra,34
366,telemaco borba,34
367,santa cruz do rio pardo,34
368,formosa,34
369,sobral,33
370,mococa,33
371,taquaritinga,33
372,seropedica,33
373,mariana,33
374,luziania,33
375,camaragibe,33
376,catalao,33
377,sao lourenco,32
378,cataguases,32
379,montenegro,32
380,santa rosa,32
381,arapongas,32
382,capivari,32
383,monte alto,32
384,formiga,32
385,promissao,31
386,imbituba,31
387,maracanau,31
388,ibiuna,31
389,juazeiro do norte,31
390,navegantes,31
391,guaiba,31
392,tijucas,30
393,marechal candido rondon,30
394,cachoeira do sul,30
395,garanhuns,30
396,santo antonio de padua,30
397,cerquilho,30
398,cruz alta,30
399,congonhas,30
400,santo antonio de jesus,29
401,gaspar,29
402,xanxere,29
403,mirassol,29
404,fazenda rio grande,29
405,arapiraca,29
406,uniao da vitoria,29
407,gramado,29
408,barra bonita,28
409,itarare,28
410,trindade,28
411,teixeira de freitas,28
412,ituverava,28
413,miguel pereira,28
414,orlandia,28
415,alem paraiba,28
416,capao bonito,28
417,itapolis,28
418,jales,28
419,itabirito,28
420,piumhii,28
421,santa isabel,28
422,arraial do cabo,28
423,primavera do leste,28
424,armacao dos buzios,28
425,cambe,27
426,batatais,27
